bot_type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 3,ece83cf4-9b3f-4e92-b48e-8bc6618733d0,0.1,"(22, 6)","(24, 10)","(35, 26)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ece83cf4-9b3f-4e92-b48e-8bc6618733d0.png,340
Bot 4,79afbced-6154-4233-9e10-341b14f27580,0.1,"(22, 6)","(24, 10)","(35, 26)",6,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/79afbced-6154-4233-9e10-341b14f27580.png,340
Bot 1,c2ffc47b-349f-40e2-a7f1-4d313201b7ef,0.1,"(14, 3)","(34, 5)","(4, 35)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c2ffc47b-349f-40e2-a7f1-4d313201b7ef.png,5427
Bot 2,0ac4ff93-927c-4136-af39-cb0463c3e6cd,0.1,"(14, 3)","(34, 5)","(4, 35)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0ac4ff93-927c-4136-af39-cb0463c3e6cd.png,5427
Bot 3,27b1caa1-ce3d-46ca-a02f-91ce89d9354c,0.1,"(14, 3)","(34, 5)","(4, 35)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/27b1caa1-ce3d-46ca-a02f-91ce89d9354c.png,5427
Bot 4,62fc4f36-12cb-4afe-b16f-11e20e2e0ea1,0.1,"(14, 3)","(34, 5)","(4, 35)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/62fc4f36-12cb-4afe-b16f-11e20e2e0ea1.png,5427
Bot 1,0cb9583d-b3ec-48f6-8d9e-2fe623be822c,0.1,"(29, 32)","(12, 22)","(22, 9)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0cb9583d-b3ec-48f6-8d9e-2fe623be822c.png,4681
Bot 2,8187f198-0c07-466b-b02b-0ff8a829f80f,0.1,"(29, 32)","(12, 22)","(22, 9)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8187f198-0c07-466b-b02b-0ff8a829f80f.png,4681
Bot 3,8ac47f77-86f6-4cb1-b4a2-a060cde8de9a,0.1,"(29, 32)","(12, 22)","(22, 9)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8ac47f77-86f6-4cb1-b4a2-a060cde8de9a.png,4681
Bot 4,379640c5-b3b3-4e5e-9d6b-f14d784d71be,0.1,"(29, 32)","(12, 22)","(22, 9)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/379640c5-b3b3-4e5e-9d6b-f14d784d71be.png,4681
Bot 1,252cb855-9d86-4db0-9a48-00660f443f76,0.1,"(3, 18)","(18, 9)","(16, 34)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/252cb855-9d86-4db0-9a48-00660f443f76.png,1147
Bot 2,330580db-5c83-46d9-97ba-eb5f033c9c9e,0.1,"(3, 18)","(18, 9)","(16, 34)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/330580db-5c83-46d9-97ba-eb5f033c9c9e.png,1147
Bot 3,26f467cf-a932-49ee-979c-3f7b58175a9e,0.1,"(3, 18)","(18, 9)","(16, 34)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/26f467cf-a932-49ee-979c-3f7b58175a9e.png,1147
Bot 4,2be4941b-5234-4814-8264-79927b8a6443,0.1,"(3, 18)","(18, 9)","(16, 34)",28,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/2be4941b-5234-4814-8264-79927b8a6443.png,1147
Bot 1,545a8d40-09e9-456c-9a61-54c35942e60e,0.1,"(35, 27)","(11, 10)","(29, 20)",11,Bot ran into fire,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/545a8d40-09e9-456c-9a61-54c35942e60e.png,8619
Bot 2,ff424f36-f36f-48c7-a62e-85747d6ac9f7,0.1,"(35, 27)","(11, 10)","(29, 20)",41,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ff424f36-f36f-48c7-a62e-85747d6ac9f7.png,8619
Bot 3,64a7d090-ae45-422d-b359-1257aa66c135,0.1,"(35, 27)","(11, 10)","(29, 20)",43,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/64a7d090-ae45-422d-b359-1257aa66c135.png,8619
Bot 4,a1d163a3-d760-4ffc-84b0-78406e2cf27f,0.1,"(35, 27)","(11, 10)","(29, 20)",41,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/a1d163a3-d760-4ffc-84b0-78406e2cf27f.png,8619
Bot 1,490c688d-7a36-404d-85b4-56ab6f6c5bc6,0.1,"(16, 6)","(14, 19)","(16, 11)",19,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/490c688d-7a36-404d-85b4-56ab6f6c5bc6.png,1640
Bot 2,f6045934-8c08-4d56-846a-7635f0c39905,0.1,"(16, 6)","(14, 19)","(16, 11)",19,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/f6045934-8c08-4d56-846a-7635f0c39905.png,1640
Bot 3,d1901fcd-f6f0-42cd-a58f-33c37cf88d22,0.1,"(16, 6)","(14, 19)","(16, 11)",19,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/d1901fcd-f6f0-42cd-a58f-33c37cf88d22.png,1640
Bot 4,8c8430c7-8ad4-4d5e-8ff6-1d36240627b7,0.1,"(16, 6)","(14, 19)","(16, 11)",19,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8c8430c7-8ad4-4d5e-8ff6-1d36240627b7.png,1640
Bot 1,747e4182-20c8-4815-a362-a0fe361eb7fe,0.1,"(38, 32)","(34, 14)","(26, 16)",30,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/747e4182-20c8-4815-a362-a0fe361eb7fe.png,89
